auid,name,EthnicSeer,prop,lastname,firstname,Ethnea,Genni,SexMac,SSNgender,Highest_probF_ethnicity,Highest_probF_value
2851959_4,Danai Abazis-Stamboulieh,ARA,0.8483483613173493,Abazis-Stamboulieh,Danai,GREEK,F,female,F,GREEK,73.472
2293432_1,Abbas Al-Abbad,ARA,0.8794803231975016,Al-Abbad,Abbas,ARAB,M,male,M,ARAB,98.803
11376084_1,Said Abbadi,FRN,0.766311234988374,Abbadi,Said,ARAB,M,male,M,ARAB,76.435
16815293_1,Sunny Abbah,IND,0.4675378307175671,Abbah,Sunny,CHINESE,-,male,-,INDIAN,38.709
12712000_4,Luiza Helena Abbamonte,SPA,0.7390275837161802,Helena Abbamonte,Luiza,HISPANIC,F,female,F,HISPANIC,77.779
3453326_2,Mohamed Abbar,ARA,0.6599084694075223,Abbar,Mohamed,ARAB,M,male,M,ARAB,83.36
15782779_2,Yassir Abbas Bokhari,ARA,0.9885078237358528,Abbas Bokhari,Yassir,ARAB,M,male,M,ARAB,95.543
14556043_1,Khalil Abbas Ghaleb,ARA,0.9989554216038884,Abbas Ghaleb,Khalil,ARAB,M,male,M,ARAB,80.855
16756967_3,Wafaa Abbas Helmy,ARA,0.999985138954706,Abbas Helmy,Wafaa,ARAB,F,female,F,ARAB,97.468
16622065_1,Hanan Abbas Hilmi,ARA,0.9923981771315484,Abbas Hilmi,Hanan,ARAB,F,female,-,ARAB,93.415
10890383_1,Syed Abbas Rizvi,IND,0.999801910628404,Abbas Rizvi,Syed,ARAB,M,male,M,ARAB,72.007
16213285_1,Seyed Abbass Tavallaii,ARA,0.8438378903180622,Abbass Tavallaii,Seyed,ARAB,M,male,M,ARAB,97.881
15170872_4,Fatima Abbas-Chorfa,IND,0.3430008247273019,Abbas-Chorfa,Fatima,ARAB-FRENCH,F,female,F,HISPANIC,73.919
9802897_2,Toufik Abbas Terki,ARA,0.998872527213216,Abbas Terki,Toufik,ARAB,M,male,-,ARAB,73.399
8202333_1,abbas Ali,IND,0.5015436817517789,Ali,abbas,ARAB,M,male,M,ARAB,98.803
12693691_1,Adigun Abbas,IND,0.8947290709762212,Abbas,Adigun,ARAB-KOREAN,-,andy,-,KOREAN,84.197
17198461_2,Fatemeh Mashhadi-Abbass,ARA,0.9977557543079209,Mashhadi-Abbass,Fatemeh,ARAB,F,female,F,ARAB,99.687
15358597_2,Houria Abbas,ARA,0.4290593901023134,Abbas,Houria,ARAB,F,andy,-,ARAB,71.408
17277665_1,Hasan Abbas,ARA,0.4993102070548502,Abbas,Hasan,ARAB,M,male,M,TURKISH,89.433
11598535_6,Tahaa Moncef Abbas,ARA,0.9993926373292856,Moncef Abbas,Tahaa Moncef,ARAB,M,andy,-,ARAB,89.585
9176964_4,Mohammed Abdalla Abbas,ARA,0.98042856674646,Abdalla Abbas,Mohammed,ARAB,M,male,M,ARAB,76.85
10067026_3,Syed Qamar Abbas,IND,0.9754045992049768,Abbas,Syed Qamar,ARAB,M,andy,-,ARAB,96.749
8029173_5,Mazhar Abbas,IND,0.8202119350121188,Abbas,Mazhar,ARAB,M,male,-,ARAB,75.576
12603096_3,Lia Abbasi Moheb,ARA,0.9293855625823668,Abbasi Moheb,Lia,ARAB,F,female,F,HISPANIC,46.587
9365618_7,Mohammad Abbasi,ARA,0.5352807445771414,Abbasi,Mohammad,ARAB,M,male,M,ARAB,90.726
